Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
0.25,0.010416667,5.23,7.48,8.89,9.92,10.73,11.37,11.92,12.39,12.81,13.19,13.37,13.71,14.03,14.32,14.59,14.84,15.08,15.3,15.51,15.8,17.31,19.29,20.89,22.05,23.71,24.92,28.94,32.33,47.48
0.5,0.020833333,6.84,9.76,11.61,12.97,14.05,14.93,15.67,16.32,16.9,17.42,17.66,18.12,18.54,18.93,19.29,19.63,19.96,20.26,20.55,20.96,23.09,25.76,27.96,29.58,31.94,33.66,39.43,44.26,66.28
0.75,0.03125,7.84,11.23,13.38,14.95,16.18,17.19,18.05,18.79,19.46,20.06,20.34,20.88,21.38,21.84,22.27,22.67,23.06,23.42,23.76,24.24,26.76,29.9,32.5,34.42,37.22,39.24,46.05,51.86,78.32
1,0.041666667,8.64,12.34,14.67,16.38,17.73,18.85,19.8,20.64,21.38,22.05,22.36,22.95,23.49,23.99,24.46,24.91,25.32,25.72,26.09,26.62,29.4,32.97,35.9,38.03,41.09,43.34,50.99,57.46,87.06
1.25,0.052083333,9.67,13.58,16.02,17.81,19.23,20.4,21.39,22.26,23.04,23.73,24.05,24.66,25.22,25.75,26.23,26.69,27.12,27.53,27.92,28.46,31.35,35.05,38.09,40.3,43.47,45.8,53.79,60.6,91.95
1.5,0.0625,10.74,14.79,17.3,19.14,20.59,21.79,22.81,23.69,24.48,25.19,25.52,26.14,26.71,27.25,27.74,28.21,28.65,29.06,29.46,30.02,32.96,36.73,39.82,42.08,45.32,47.71,55.94,62.99,95.65
1.75,0.072916667,11.79,15.93,18.49,20.36,21.84,23.05,24.08,24.98,25.77,26.49,26.82,27.45,28.03,28.56,29.07,29.54,29.98,30.4,30.8,31.37,34.35,38.15,41.29,43.58,46.88,49.3,57.72,64.99,98.69
2,0.083333333,12.8,17,19.6,21.49,22.98,24.2,25.23,26.14,26.94,27.66,27.99,28.62,29.21,29.75,30.26,30.73,31.18,31.6,32,32.57,35.58,39.4,42.57,44.9,48.23,50.69,59.28,66.73,101.33
2.25,0.09375,13.6,17.89,20.53,22.45,23.97,25.21,26.26,27.17,27.99,28.72,29.06,29.7,30.29,30.84,31.35,31.83,32.29,32.72,33.12,33.7,36.74,40.62,43.84,46.19,49.59,52.1,60.9,68.56,104.02
2.5,0.104166667,14.34,18.71,21.39,23.34,24.88,26.14,27.2,28.13,28.96,29.7,30.04,30.69,31.29,31.85,32.37,32.85,33.31,33.74,34.16,34.74,37.81,41.75,45.01,47.39,50.85,53.41,62.4,70.27,106.5
