Daily ETo (Bare earth) (mm),time
0.23,2020-11-22
0.06,2020-11-25
0.11,2020-11-28
0.08,2020-11-29
0.09,2020-11-30
0.06,2020-12-05
0.13,2020-12-06
0.1,2020-12-07
0.09,2020-12-08
0.1,2020-12-09
0.1,2020-12-10
0.12,2020-12-11
0.19,2020-12-12
0.19,2020-12-13
0.29,2020-12-14
0.04,2020-12-18
0.02,2021-02-09
0.02,2021-02-18
0.1,2021-02-24
0.13,2021-02-25
0.34,2021-02-26
0.25,2021-02-27
0.3,2021-02-28
0.19,2021-03-01
0.0,2021-03-02
0.07,2021-03-03
0.03,2021-03-04
0.32,2021-03-05
0.17,2021-03-10
0.2,2021-03-11
0.65,2021-03-12
0.75,2021-03-13
0.71,2021-03-14
0.39,2021-03-15
0.69,2021-03-16
0.99,2021-03-17
0.58,2021-03-18
0.54,2021-03-19
0.46,2021-03-20
1.08,2021-03-21
1.02,2021-03-22
1.06,2021-03-23
0.53,2021-03-24
1.03,2021-03-25
0.56,2021-03-26
1.08,2021-03-27
0.79,2021-03-28
0.76,2021-03-29
0.99,2021-03-30
1.39,2021-03-31
0.47,2021-04-01
0.72,2021-04-02
0.67,2021-04-03
1.26,2021-04-04
0.78,2021-04-05
0.86,2021-04-06
0.92,2021-04-07
0.65,2021-04-08
0.69,2021-04-09
0.69,2021-04-10
0.6,2021-04-11
1.03,2021-04-12
1.06,2021-04-13
0.48,2021-04-14
1.55,2021-04-15
1.55,2021-04-16
1.6,2021-04-17
1.58,2021-04-18
1.25,2021-04-19
1.77,2021-04-20
1.27,2021-04-21
1.45,2021-04-22
1.88,2021-04-23
1.77,2021-04-24
2.05,2021-04-25
2.07,2021-04-26
0.89,2021-04-27
0.6,2021-04-28
1.8,2021-04-29
1.3,2021-04-30
1.04,2021-05-01
1.42,2021-05-02
1.31,2021-05-03
0.57,2021-05-04
0.9,2021-05-05
1.19,2021-05-06
1.15,2021-05-07
1.4,2021-05-08
0.55,2021-05-09
1.35,2021-05-10
1.43,2021-05-11
1.63,2021-05-12
1.07,2021-05-13
2.39,2021-05-14
2.61,2021-05-19
1.61,2021-05-20
0.66,2021-05-21
0.9,2021-05-22
1.17,2021-05-23
1.49,2021-05-24
2.36,2021-05-25
1.13,2021-05-26
1.02,2021-05-27
2.88,2021-05-28
2.93,2021-06-01
3.0,2021-06-02
2.54,2021-06-03
1.77,2021-06-04
2.48,2021-06-05
2.01,2021-06-06
2.83,2021-06-07
1.9,2021-06-08
1.19,2021-06-09
2.13,2021-06-10
1.33,2021-06-15
2.43,2021-06-16
1.17,2021-06-17
2.38,2021-06-18
1.72,2021-06-19
3.09,2021-06-20
2.22,2021-06-21
1.75,2021-06-22
2.67,2021-06-23
2.29,2021-06-24
0.52,2021-06-27
1.68,2021-06-28
3.38,2021-06-29
1.81,2021-06-30
1.77,2021-07-01
2.42,2021-07-02
1.17,2021-07-03
0.99,2021-07-04
1.77,2021-07-05
1.76,2021-07-06
0.82,2021-07-07
1.73,2021-07-08
1.51,2021-07-09
1.08,2021-07-10
1.94,2021-07-11
1.09,2021-07-12
0.76,2021-07-13
1.83,2021-07-14
2.0,2021-07-15
3.14,2021-07-16
2.95,2021-07-17
2.95,2021-07-18
2.03,2021-07-19
2.93,2021-07-20
2.87,2021-07-21
3.04,2021-07-22
0.79,2021-07-23
3.02,2021-07-24
1.93,2021-07-25
1.61,2021-07-26
2.44,2021-07-27
1.61,2021-07-28
2.06,2021-07-29
2.2,2021-07-30
0.65,2021-07-31
0.63,2021-08-01
1.06,2021-08-02
1.28,2021-08-03
2.37,2021-08-04
0.97,2021-08-05
1.15,2021-08-06
0.9,2021-08-07
0.94,2021-08-08
1.4,2021-08-09
1.63,2021-08-10
1.39,2021-08-11
0.94,2021-08-12
1.91,2021-08-13
1.3,2021-08-14
1.97,2021-08-15
0.75,2021-08-16
1.47,2021-08-17
0.97,2021-08-18
1.67,2021-08-19
0.88,2021-08-20
1.23,2021-08-21
0.5,2021-08-22
1.13,2021-08-23
2.2,2021-08-24
1.94,2021-08-25
1.26,2021-08-26
0.83,2021-08-27
0.89,2021-08-28
1.76,2021-08-29
0.57,2021-08-30
0.82,2021-08-31
1.21,2021-09-01
0.79,2021-09-02
1.37,2021-09-03
0.43,2021-09-04
0.47,2021-09-05
1.66,2021-09-06
0.86,2021-09-07
1.62,2021-09-08
1.47,2021-09-09
0.79,2021-09-10
0.92,2021-09-11
1.35,2021-09-12
0.46,2021-09-13
0.66,2021-09-14
0.44,2021-09-15
1.15,2021-09-16
1.35,2021-09-17
1.01,2021-09-18
0.61,2021-09-19
1.08,2021-09-20
1.1,2021-09-21
0.89,2021-09-22
1.05,2021-09-23
0.98,2021-09-24
1.06,2021-09-25
0.71,2021-09-26
1.15,2021-09-27
1.07,2021-09-28
0.53,2021-09-29
0.65,2021-09-30
0.35,2021-10-01
0.84,2021-10-02
0.28,2021-10-03
0.84,2021-10-04
0.55,2021-10-05
0.44,2021-10-06
0.62,2021-10-07
0.21,2021-10-08
0.89,2021-10-09
0.35,2021-10-10
0.27,2021-10-14
0.08,2021-10-15
0.27,2021-10-16
0.06,2021-10-17
0.45,2021-10-18
0.32,2021-10-19
0.31,2021-10-20
0.28,2021-10-21
0.29,2021-10-22
0.17,2021-10-23
0.31,2021-10-24
0.57,2021-10-25
0.44,2021-10-26
0.28,2021-10-27
0.17,2021-10-28
0.13,2021-10-29
0.07,2021-10-30
0.0,2021-11-02
0.06,2021-11-03
0.14,2021-11-05
0.18,2021-11-06
0.02,2021-11-07
0.0,2021-11-08
0.01,2021-11-10
0.07,2021-11-13
0.19,2021-11-14
0.1,2021-11-15
0.08,2021-11-16
0.11,2021-11-17
0.18,2021-11-18
