Solar radiation (W/m²),time
3.2,2020-11-16 15:45:00
0.8,2020-11-16 16:00:00
554.2,2020-11-16 18:45:00
-0.3,2020-11-16 19:00:00
-0.5,2020-11-16 19:15:00
-0.5,2020-11-16 19:30:00
-0.8,2020-11-16 19:45:00
-0.4,2020-11-16 20:00:00
0.0,2020-11-16 20:15:00
-0.1,2020-11-16 20:30:00
-0.5,2020-11-16 21:00:00
-0.2,2020-11-16 21:15:00
-0.3,2020-11-16 21:30:00
-0.7,2020-11-16 21:45:00
-0.4,2020-11-16 22:00:00
-0.3,2020-11-16 22:15:00
-1.6,2020-11-16 22:30:00
-1.7,2020-11-16 22:45:00
-0.7,2020-11-16 23:00:00
0.3,2020-11-16 23:15:00
0.1,2020-11-16 23:30:00
-0.9,2020-11-16 23:45:00
0.2,2020-11-17 00:00:00
-0.2,2020-11-17 00:15:00
0.0,2020-11-17 00:30:00
0.1,2020-11-17 00:45:00
-1.0,2020-11-17 01:00:00
0.1,2020-11-17 01:15:00
0.0,2020-11-17 01:30:00
0.0,2020-11-17 01:45:00
0.1,2020-11-17 02:00:00
0.3,2020-11-17 02:15:00
-1.3,2020-11-17 02:30:00
-1.5,2020-11-17 02:45:00
-0.1,2020-11-17 03:00:00
0.1,2020-11-17 03:15:00
-0.7,2020-11-17 03:30:00
-0.3,2020-11-17 03:45:00
-0.3,2020-11-17 04:00:00
-0.1,2020-11-17 04:15:00
-0.3,2020-11-17 04:30:00
0.0,2020-11-17 04:45:00
0.2,2020-11-17 05:00:00
-1.0,2020-11-17 05:15:00
-1.7,2020-11-17 05:30:00
-0.6,2020-11-17 05:45:00
-0.1,2020-11-17 06:00:00
-0.1,2020-11-17 06:15:00
-0.1,2020-11-17 06:30:00
-0.2,2020-11-17 06:45:00
-0.1,2020-11-17 07:00:00
0.1,2020-11-17 07:15:00
0.2,2020-11-17 07:30:00
0.5,2020-11-17 07:45:00
2.1,2020-11-17 08:00:00
7.4,2020-11-17 08:15:00
12.0,2020-11-17 08:30:00
16.6,2020-11-17 08:45:00
24.0,2020-11-17 09:00:00
25.5,2020-11-17 09:15:00
26.9,2020-11-17 09:30:00
34.1,2020-11-17 09:45:00
33.7,2020-11-17 10:00:00
35.5,2020-11-17 10:15:00
55.4,2020-11-17 10:30:00
65.4,2020-11-17 10:45:00
68.4,2020-11-17 11:00:00
69.8,2020-11-17 11:15:00
67.5,2020-11-17 11:30:00
77.2,2020-11-17 11:45:00
33.1,2020-11-17 12:00:00
18.8,2020-11-17 12:15:00
30.9,2020-11-17 12:30:00
24.7,2020-11-17 12:45:00
24.8,2020-11-17 13:00:00
20.9,2020-11-17 13:15:00
54.1,2020-11-17 13:30:00
95.6,2020-11-17 13:45:00
36.6,2020-11-17 14:00:00
25.4,2020-11-17 14:15:00
15.1,2020-11-17 14:30:00
12.2,2020-11-17 14:45:00
13.3,2020-11-17 15:00:00
11.2,2020-11-17 15:15:00
6.1,2020-11-17 15:30:00
2.3,2020-11-17 15:45:00
1.7,2020-11-17 16:00:00
2.4,2020-11-17 16:15:00
-0.2,2020-11-17 16:30:00
-1.7,2020-11-17 16:45:00
-2.0,2020-11-17 17:00:00
-1.9,2020-11-17 17:15:00
-1.4,2020-11-17 17:30:00
-1.7,2020-11-17 17:45:00
-1.1,2020-11-17 18:00:00
-1.6,2020-11-17 18:15:00
-1.9,2020-11-17 18:30:00
-1.6,2020-11-17 18:45:00
-2.0,2020-11-17 19:00:00
-1.9,2020-11-17 19:15:00
-1.9,2020-11-17 19:30:00
-1.3,2020-11-17 19:45:00
-2.5,2020-11-17 20:00:00
-1.8,2020-11-17 20:15:00
0.0,2020-11-17 20:30:00
-0.4,2020-11-17 20:45:00
-0.1,2020-11-17 21:00:00
-0.2,2020-11-17 21:15:00
-0.3,2020-11-17 21:30:00
-0.2,2020-11-17 21:45:00
0.1,2020-11-17 22:00:00
-0.2,2020-11-17 22:15:00
-0.4,2020-11-17 22:30:00
-0.2,2020-11-17 22:45:00
-0.1,2020-11-17 23:00:00
-0.1,2020-11-17 23:15:00
-0.2,2020-11-17 23:30:00
-0.6,2020-11-17 23:45:00
-0.8,2020-11-18 00:00:00
-0.6,2020-11-18 00:15:00
-0.3,2020-11-18 00:30:00
-0.3,2020-11-18 00:45:00
-0.3,2020-11-18 01:00:00
-0.2,2020-11-18 01:15:00
0.0,2020-11-18 01:30:00
-0.1,2020-11-18 01:45:00
-0.2,2020-11-18 02:00:00
-0.2,2020-11-18 02:15:00
-0.1,2020-11-18 02:30:00
-0.2,2020-11-18 02:45:00
-0.2,2020-11-18 03:00:00
-0.3,2020-11-18 03:15:00
0.3,2020-11-18 03:30:00
-0.4,2020-11-18 03:45:00
-0.2,2020-11-18 04:00:00
-0.6,2020-11-18 04:15:00
-0.5,2020-11-18 04:30:00
0.0,2020-11-18 04:45:00
-0.4,2020-11-18 05:00:00
-0.2,2020-11-18 05:15:00
-0.3,2020-11-18 05:30:00
-0.3,2020-11-18 05:45:00
-0.1,2020-11-18 06:00:00
-0.3,2020-11-18 06:15:00
0.1,2020-11-18 06:30:00
-0.3,2020-11-18 06:45:00
-0.3,2020-11-18 07:00:00
